CIDADE ,DIA DE ATENDIMENTO,QUAL VEÍCULO,TEMPO MÉDIO PARADO,ROTA,Tipo
ERVALIA,TERÇA - QUINTA (IDA),CAMINHÃO 5,5,ROTA FIXA 04 (PERNOITE),Cidade 22
VICOSA,TERÇA - QUINTA (IDA),CAMINHÃO 5,35,ROTA FIXA 04 (PERNOITE),Cidade 73
MURIAE,TERÇA - QUINTA (IDA),CAMINHÃO 5,95,ROTA FIXA 04 (PERNOITE),Cidade 42
MIRADOURO,QUARTA - SEXTA (VOLTA),CAMINHÃO 5,10,ROTA FIXA 04 (PERNOITE),Cidade 40
FERVEDOURO,QUARTA - SEXTA (VOLTA),CAMINHÃO 5,10,ROTA FIXA 04 (PERNOITE),Cidade 23
MANHUACU,QUARTA - SEXTA (VOLTA),CAMINHÃO 5,76,ROTA FIXA 04 (PERNOITE),Cidade 36
MATIPO,QUARTA - SEXTA (VOLTA),CAMINHÃO 5,5,ROTA FIXA 04 (PERNOITE),Cidade 38
ABRE CAMPO,QUARTA - SEXTA (VOLTA),CAMINHÃO 5,15,ROTA FIXA 04 (PERNOITE),Cidade 1
DEPÓSITO,,CAMINHÃO 5,0,,Depósito
DEPÓSITO,,CAMINHÃO 6,0,,0
CORINTO,SEGUNDA - QUARTA (ida),CAMINHÃO 6,15,ROTA FIXA 01 (PERNOITE),Cidade 18
VARZEA DA PALMA,SEGUNDA - QUARTA (ida),CAMINHÃO 6,15,ROTA FIXA 01 (PERNOITE),Cidade 71
PIRAPORA,SEGUNDA - QUARTA (ida),CAMINHÃO 6,45,ROTA FIXA 01 (PERNOITE),Cidade 49
BURITIZEIRO,SEGUNDA - QUARTA (ida),CAMINHÃO 6,5,ROTA FIXA 01 (PERNOITE),Cidade 10
MONTES CLAROS,SEGUNDA - QUARTA (ida),CAMINHÃO 6,75,ROTA FIXA 01 (PERNOITE),Cidade 41
BOCAIUVA,TERÇA - QUINTA (volta),CAMINHÃO 6,5,ROTA FIXA 01 (PERNOITE),Cidade 7
BUENOPOLIS,TERÇA - QUINTA (volta),CAMINHÃO 6,5,ROTA FIXA 01 (PERNOITE),Cidade 9
DEPÓSITO,,CAMINHÃO 6,0,,0
DEPÓSITO,,CAMINHÃO 7,0,,0
DIVINOPOLIS,SEGUNDA - QUARTA (IDA),CAMINHÃO 7,60,ROTA FIXA 10 (PERNOITE),Cidade 21
CAMPO BELO,SEGUNDA - QUARTA (IDA),CAMINHÃO 7,30,ROTA FIXA 10 (PERNOITE),Cidade 11
BOA ESPERANCA,SEGUNDA - QUARTA (IDA),CAMINHÃO 7,10,ROTA FIXA 10 (PERNOITE),Cidade 6
ALFENAS,SEGUNDA - QUARTA (IDA),CAMINHÃO 7,30,ROTA FIXA 10 (PERNOITE),Cidade 2
MACHADO,SEGUNDA - QUARTA (IDA),CAMINHÃO 7,15,ROTA FIXA 10 (PERNOITE),Cidade 35
VARGINHA,TERÇA - QUINTA (VOLTA),CAMINHÃO 7,50,ROTA FIXA 10 (PERNOITE),Cidade 70
TRES PONTAS,TERÇA - QUINTA (VOLTA),CAMINHÃO 7,15,ROTA FIXA 10 (PERNOITE),Cidade 68
DEPÓSITO,,CAMINHÃO 7,0,,0
DEPÓSITO,,CAMINHÃO 8,0,,0
OLIVEIRA,SEGUNDA - QUINTA (IDA),CAMINHÃO 8,15,ROTA FIXA 09 (PERNOITE),Cidade 44
TRES CORACOES,SEGUNDA - QUINTA (IDA),CAMINHÃO 8,25,ROTA FIXA 09 (PERNOITE),Cidade 67
SAO GONCALO DO SAPUCAI,SEGUNDA - QUINTA (IDA),CAMINHÃO 8,5,ROTA FIXA 09 (PERNOITE),Cidade 62
POUSO ALEGRE,SEGUNDA - QUINTA (IDA),CAMINHÃO 8,75,ROTA FIXA 09 (PERNOITE),Cidade 53
LAVRAS,TERÇA - SEXTA (VOLTA),CAMINHÃO 8,5,ROTA FIXA 09 (PERNOITE),Cidade 33
RIBEIRAO VERMELHO,TERÇA - SEXTA (VOLTA),CAMINHÃO 8,5,ROTA FIXA 09 (PERNOITE),Cidade 56
CARMOPOLIS DE MINAS,TERÇA - SEXTA (VOLTA),CAMINHÃO 8,5,ROTA FIXA 09 (PERNOITE),Cidade 13
DEPÓSITO,,CAMINHÃO 8,0,,0
