UNIDADE,UF,CIDADE ,DIA DE ATENDIMENTO,ROTA,QUAL VEÍCULO,TEMPO MÉDIO PARADO,
MG38,MG,RIO CASCA,QUARTA - SEXTA (VOLTA),ROTA FIXA 03  (PERNOITE) - LESTE,CAMINHÃO 3,10,Cidade 57
MG38,MG,SAO JOSE DO GOIABAL,QUARTA - SEXTA (VOLTA),ROTA FIXA 03  (PERNOITE) - LESTE,CAMINHÃO 3,5,Cidade 63
MG38,MG,DEPÓSITO,,,CAMINHÃO 3,0,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 4,0,0
MG38,MG,ITABIRA,TERÇA - QUINTA (IDA),ROTA FIXA 02  (PERNOITE) - NORDESTE,CAMINHÃO 4,25,Cidade 27
MG38,MG,TEOFILO OTONI,TERÇA - QUINTA (IDA),ROTA FIXA 02  (PERNOITE) - NORDESTE,CAMINHÃO 4,75,Cidade 65
MG38,MG,GOVERNADOR VALADARES,QUARTA - SEXTA (VOLTA),ROTA FIXA 02  (PERNOITE) - NORDESTE,CAMINHÃO 4,80,Cidade 24
MG38,MG,DEPÓSITO,,,CAMINHÃO 4,0,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 5,0,0
MG38,MG,OURO PRETO,TERÇA - QUINTA (IDA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,15,Cidade 46
MG38,MG,MARIANA,TERÇA - QUINTA (IDA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,15,Cidade 37
MG38,MG,PONTE NOVA,TERÇA - QUINTA (IDA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,25,Cidade 52
MG38,MG,ERVALIA,TERÇA - QUINTA (IDA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,5,Cidade 22
MG38,MG,VICOSA,TERÇA - QUINTA (IDA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,35,Cidade 73
MG38,MG,MURIAE,TERÇA - QUINTA (IDA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,95,Cidade 42
MG38,MG,MIRADOURO,QUARTA - SEXTA (VOLTA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,10,Cidade 40
MG38,MG,FERVEDOURO,QUARTA - SEXTA (VOLTA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,10,Cidade 23
MG38,MG,MANHUACU,QUARTA - SEXTA (VOLTA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,76,Cidade 36
MG38,MG,MATIPO,QUARTA - SEXTA (VOLTA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,5,Cidade 38
MG38,MG,ABRE CAMPO,QUARTA - SEXTA (VOLTA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,15,Cidade 1
MG38,MG,DEPÓSITO,,,CAMINHÃO 5,0,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 6,0,0
MG38,MG,CORINTO,SEGUNDA - QUARTA (ida),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,15,Cidade 18
MG38,MG,VARZEA DA PALMA,SEGUNDA - QUARTA (ida),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,15,Cidade 71
MG38,MG,PIRAPORA,SEGUNDA - QUARTA (ida),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,45,Cidade 49
MG38,MG,BURITIZEIRO,SEGUNDA - QUARTA (ida),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,5,Cidade 10
MG38,MG,MONTES CLAROS,SEGUNDA - QUARTA (ida),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,75,Cidade 41
MG38,MG,BOCAIUVA,TERÇA - QUINTA (volta),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,5,Cidade 7
MG38,MG,BUENOPOLIS,TERÇA - QUINTA (volta),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,5,Cidade 9
MG38,MG,DEPÓSITO,,,CAMINHÃO 6,0,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 7,0,0
MG38,MG,DIVINOPOLIS,SEGUNDA - QUARTA (IDA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,60,Cidade 21
