UNIDADE,UF,CIDADE ,DIA DE ATENDIMENTO,ROTA,QUAL VEÍCULO,TEMPO MÉDIO PARADO
MG38,MG,GOVERNADOR VALADARES,QUARTA - SEXTA (VOLTA),ROTA FIXA 02  (PERNOITE) - NORDESTE,CAMINHÃO 4,80
MG38,MG,DEPÓSITO,,,CAMINHÃO 4,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 5,0
MG38,MG,OURO PRETO,TERÇA - QUINTA (IDA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,15
MG38,MG,MARIANA,TERÇA - QUINTA (IDA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,15
MG38,MG,PONTE NOVA,TERÇA - QUINTA (IDA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,25
MG38,MG,ERVALIA,TERÇA - QUINTA (IDA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,5
MG38,MG,VICOSA,TERÇA - QUINTA (IDA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,35
MG38,MG,MURIAE,TERÇA - QUINTA (IDA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,95
MG38,MG,MIRADOURO,QUARTA - SEXTA (VOLTA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,10
MG38,MG,FERVEDOURO,QUARTA - SEXTA (VOLTA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,10
MG38,MG,MANHUACU,QUARTA - SEXTA (VOLTA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,76
MG38,MG,MATIPO,QUARTA - SEXTA (VOLTA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,5
MG38,MG,ABRE CAMPO,QUARTA - SEXTA (VOLTA),ROTA FIXA 04 (PERNOITE) - LESTE SUDESTE,CAMINHÃO 5,15
MG38,MG,DEPÓSITO,,,CAMINHÃO 5,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 6,0
MG38,MG,CORINTO,SEGUNDA - QUARTA (ida),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,15
MG38,MG,VARZEA DA PALMA,SEGUNDA - QUARTA (ida),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,15
MG38,MG,PIRAPORA,SEGUNDA - QUARTA (ida),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,45
MG38,MG,BURITIZEIRO,SEGUNDA - QUARTA (ida),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,5
MG38,MG,MONTES CLAROS,SEGUNDA - QUARTA (ida),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,75
MG38,MG,BOCAIUVA,TERÇA - QUINTA (volta),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,5
MG38,MG,BUENOPOLIS,TERÇA - QUINTA (volta),ROTA FIXA 01 (PERNOITE) - NORTE,CAMINHÃO 6,5
MG38,MG,DEPÓSITO,,,CAMINHÃO 6,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 7,0
MG38,MG,DIVINOPOLIS,SEGUNDA - QUARTA (IDA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,60
MG38,MG,CAMPO BELO,SEGUNDA - QUARTA (IDA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,30
MG38,MG,BOA ESPERANCA,SEGUNDA - QUARTA (IDA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,10
MG38,MG,ALFENAS,SEGUNDA - QUARTA (IDA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,30
MG38,MG,MACHADO,SEGUNDA - QUARTA (IDA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,15
MG38,MG,VARGINHA,TERÇA - QUINTA (VOLTA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,50
MG38,MG,TRES PONTAS,TERÇA - QUINTA (VOLTA),ROTA FIXA 10 (PERNOITE) - SUDOESTE,CAMINHÃO 7,15
MG38,MG,DEPÓSITO,,,CAMINHÃO 7,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 8,0
MG38,MG,OLIVEIRA,SEGUNDA - QUINTA (IDA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,15
MG38,MG,TRES CORACOES,SEGUNDA - QUINTA (IDA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,25
MG38,MG,SAO GONCALO DO SAPUCAI,SEGUNDA - QUINTA (IDA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,5
MG38,MG,POUSO ALEGRE,SEGUNDA - QUINTA (IDA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,75
MG38,MG,LAVRAS,TERÇA - SEXTA (VOLTA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,5
MG38,MG,RIBEIRAO VERMELHO,TERÇA - SEXTA (VOLTA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,5
MG38,MG,CARMOPOLIS DE MINAS,TERÇA - SEXTA (VOLTA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,5
MG38,MG,PIRACEMA,TERÇA - SEXTA (VOLTA),ROTA FIXA 09 (PERNOITE) - SUL SUDOESTE,CAMINHÃO 8,5
MG38,MG,DEPÓSITO,,,CAMINHÃO 8,0
