,,,,30/09 - 04/10,,07/10 - 11/10,,14/10 - 18/10,Demanda Hipotética,,21/10 - 25/10,,28/10 - 01/11,,,,,,,
Cidades,Latitude,Longitude,Tempo Parada,1ª S - 1ª R,1ª S - 2ª R,2ª S - 1ª R,2ª S - 2ª R,3ªS - 1ª R,Primeira,3ªS - 2ª R,4ªS - 1ª R,4ªS - 2ª R,5ªS - 1ª R,5ªS - 2ª R,,,,,Média - 30%,Demanda
INHAPIM,-19.548748,-42.121566,10,0,4,1,1,0,0,3,1,1,1,1,0,,,,"0,7",0
IPATINGA,-19.465223,-42.561654,50,17,4,8,7,15,5,8,5,1,19,1,0,,,,"4,9","4,9"
ITABIRA,-19.641535,-43.226023,25,1,0,1,0,1,0,1,1,1,1,1,0,,,,"0,7",0
ITAUNA,-20.082297,-44.584163,50,3,11,7,3,6,5,14,9,6,5,3,0,,,,"4,2","4,2"
JOAO MONLEVADE,-19.815919,-43.177918,70,19,8,9,3,15,6,4,11,2,11,6,0,,,,"5,6","5,6"
JUIZ DE FORA,-21.757239,-43.355926,115,29,12,12,5,26,14,13,30,11,24,14,0,,,,14,14
LAGOA DA PRATA,-20.020659,-45.526865,30,1,2,1,1,1,0,1,1,4,7,1,0,,,,"2,8",0
LAVRAS,-21.238650,-45.004877,5,17,14,14,20,42,21,33,12,49,34,20,0,,,,"20,3","20,3"
LEOPOLDINA,-21.526206,-42.646138,30,3,6,2,5,8,0,1,4,4,3,2,0,,,,"2,8",0
MACHADO,-21.678517,-45.921966,15,1,1,1,1,1,0,1,3,1,1,1,0,,,,"1,4",0
MANHUACU,-20.255943,-42.036065,76,2,4,3,1,1,5,2,4,1,2,15,0,,,,"4,2","4,2"
MARIANA,-20.375056,-43.418517,15,0,0,1,0,1,0,1,1,1,1,1,0,,,,"0,7",0
MATIPO,-20.285016,-42.346158,5,1,0,1,0,1,0,1,2,5,1,1,0,,,,"2,1",0
MONTES CLAROS,-16.731606,-43.857647,75,26,26,22,12,24,26,8,16,58,24,50,0,,,,"25,9","25,9"
MURIAE,-21.143023,-42.370869,95,9,8,5,6,18,7,7,13,6,9,6,0,,,,"6,3","6,3"
NOVA SERRANA,-19.875904,-44.993207,45,2,7,5,5,6,5,5,5,4,10,3,0,,,,"4,2","4,2"
OLIVEIRA,-20.704267,-44.828225,15,3,1,1,1,1,0,5,3,8,1,1,0,,,,"2,8",0
OURO BRANCO,-20.514348,-43.705671,15,1,1,1,1,1,0,1,1,1,1,1,0,,,,"0,7",0
OURO PRETO,-20.387093,-43.502440,15,0,1,1,1,1,0,1,1,1,1,1,0,,,,"0,7",0
PARA DE MINAS,-19.868746,-44.595105,85,5,11,6,5,13,5,7,5,4,4,8,0,,,,"4,2","4,2"
PEDRO LEOPOLDO,-19.603678,-44.030995,30,7,4,2,1,6,0,2,2,2,1,5,0,,,,"2,1",0
PIRAPORA,-17.335086,-44.924131,45,17,15,5,6,2,5,13,10,8,4,6,0,,,,"4,9","4,9"
PITANGUI,-19.680131,-44.891058,71,3,1,1,1,11,7,4,4,22,2,6,0,,,,"6,3","6,3"
PIUMHI,-20.470692269595915,-45.95858929418302,75,6,0,6,12,0,5,11,5,3,6,7,0,,,,"4,2","4,2"
PONTE NOVA,-20.414808,-42.889429,25,11,6,5,7,18,4,3,3,5,8,1,0,,,,"3,5","3,5"
POUSO ALEGRE,-22.226254,-45.935178,75,20,14,22,26,7,23,23,16,24,6,79,0,,,,"22,4","22,4"
RAUL SOARES,-20.106288,-42.458185,5,3,1,1,2,1,0,1,1,1,1,2,0,,,,"1,4",0
RIO CASCA,-20.224832,-42.654436,10,0,1,1,1,2,0,1,1,1,4,1,0,,,,"1,4",0
SANTA LUZIA,-19.765466,-43.866235,10,0,0,0,0,0,0,0,0,0,0,0,ND,,,,0,0
SANTO ANTONIO DO MONTE,-20.090039,-45.285895,45,1,7,3,4,1,5,8,1,1,3,22,0,,,,"4,9","4,9"
SANTOS DUMONT,-21.457799,-43.551327,15,1,2,1,1,1,9,1,1,1,2,42,0,,,,"8,4","8,4"
SAO GERALDO,-20.920204,-42.831584,10,0,0,0,0,0,0,0,0,0,0,0,ND,,,,0,0
SAO GONCALO DO SAPUCAI,-21.890476,-45.593728,5,1,1,1,1,1,0,4,1,1,1,1,0,,,,"0,7",0
SAO JOSE DO GOIABAL,-19.924413,-42.710848,5,1,1,1,1,1,0,1,1,1,1,1,0,,,,"0,7",0
SETE LAGOAS,-19.446379,-44.246969,75,5,6,2,3,7,4,6,9,2,7,2,0,,,,"3,5","3,5"
TEOFILO OTONI,-17.857623,-41.505929,75,9,13,9,4,9,5,14,9,4,8,4,0,,,,"4,9","4,9"
TRES CORACOES,-21.685322,-45.253325,25,3,6,2,3,8,0,3,1,2,5,8,0,,,,"2,8",0
TRES PONTAS,-21.372950,-45.514670,15,14,1,13,1,3,0,1,4,1,1,3,0,,,,"2,1",0
UBA,-21.113764,-42.940615,45,19,12,1,7,6,17,1,9,15,65,1,0,,,,"16,1","16,1"
VARGINHA,-21.563785,-45.436898,50,26,10,20,3,16,15,10,11,23,26,22,0,,,,"14,7","14,7"
VARZEA DA PALMA,-17.595518,-44.734012,15,12,1,8,21,6,9,9,17,1,28,1,0,,,,"8,4","8,4"
VESPASIANO,-19.752473,-43.938543,15,29,1,1,1,1,26,8,1,54,85,1,0,,,,"25,2","25,2"
VICOSA,-20.761900,-42.882204,35,1,2,0,1,4,0,3,1,4,1,3,0,,,,"2,1",0
VISCONDE DO RIO BRANCO,-21.009174,-42.833891,10,1,1,1,4,2,0,1,3,2,2,1,0,,,,"1,4",0
PRUDENTE DE MORAIS,-19.47456098376785,-44.16000500160618,10,0,0,0,0,0,0,0,0,0,0,0,ND,,,,0,0
MATOZINHOS,-19.565024843320305,-44.079862882924765,5,0,0,0,0,0,0,0,0,0,0,0,ND,,,,0,0
